a,d,fl,fw,gh,inl,inw,k,mt,pl,pw,sh,sl,sw,uf,freq,s11,gain,bandwidth
40.0,2000.0,86.0,58.0,15.0,58.0,3.625,1.0,15.0,228.0,303.0,90.0,400.0,460.0,0.8,0.406,-34.175917271615,9.761817852501846,0.035328922920050576
40.0,2000.0,86.0,58.0,15.0,58.0,3.625,1.0,15.0,228.0,280.0,90.0,400.0,460.0,0.8,0.41095,-34.75366538871,9.828827232517611,0.03583477149621861
40.0,2000.0,86.0,58.0,15.0,39.0,3.625,1.0,15.0,228.0,350.0,90.0,400.0,460.0,0.8,0.39511,-26.49423215072,9.811117191454382,0.03419773162597145
40.0,2000.0,86.0,58.0,15.0,39.0,3.625,1.0,15.0,228.0,326.0,90.0,400.0,460.0,0.8,0.40105,-41.523949847889,9.766778975163527,0.036533926434097086
40.0,2000.0,86.0,58.0,15.0,39.0,3.625,1.0,15.0,228.0,303.0,90.0,400.0,460.0,0.8,0.40699,-33.184536052634,9.805269379716188,0.03624901128445568
40.0,2000.0,86.0,58.0,15.0,39.0,3.625,1.0,15.0,228.0,280.0,90.0,400.0,460.0,0.8,0.41293,-25.751878463395,9.879918418054253,0.03647095980084064
40.0,2000.0,86.0,58.0,15.0,20.0,3.625,1.0,15.0,228.0,350.0,90.0,400.0,460.0,0.8,0.3961,-34.996711322311,9.847610773528608,0.0360696400112393
40.0,2000.0,86.0,58.0,15.0,20.0,3.625,1.0,15.0,228.0,326.0,90.0,400.0,460.0,0.8,0.40204,-35.06131836273,9.782976309878293,0.03629482957644847
40.0,2000.0,86.0,58.0,15.0,20.0,3.625,1.0,15.0,228.0,303.0,90.0,400.0,460.0,0.8,0.40699,-25.651151518534,9.804138592597456,0.03654188051346724
40.0,2000.0,86.0,58.0,15.0,20.0,3.625,1.0,15.0,228.0,280.0,90.0,400.0,460.0,0.8,0.41392,-21.615806355637,9.909151536202133,0.03661575995583494
